listing_id,title,price,expiration_date,location,url,auction_status,category,collected_at
335836,"Gyvenamoji patalpa 1/2 dalis 2 kamb., 38,37 kv. m Vilniaus r. sav. Anavilio k. Bitininkų g. 2-4",5640.0,2026-09-14 09:55,Vilniaus r. sav. Anavilio k. Bitininkų g. 2-4,https://www.eaukcionai.lt/evs/pages/auction.do?id=336817&number=335836,Vykstančios,Buildings,2026-09-08 17:50:02
335369,"Sandėlis, 199,41 kv. m Vilniaus r. sav. Miškonių k. Miškonių g. 13",58800.0,2026-09-15 13:59,Vilniaus r. sav. Miškonių k. Miškonių g. 13,https://www.eaukcionai.lt/evs/pages/auction.do?id=336543&number=335369,Paskelbtas,Buildings,2026-09-08 17:50:02
336894,"Dirbtuvės, 90,68 kv. m Vilniaus m. sav. Vilniaus m. Filaretų g. 17",,2026-09-25 13:59,Vilniaus m. sav. Vilniaus m. Filaretų g. 17,https://www.eaukcionai.lt/evs/pages/auction.do?id=337611&number=336894,Paskelbtas,Buildings,2026-09-08 17:50:04
336897,"Garažas, 13,48 kv. m Vilniaus m. sav. Vilniaus m. Filaretų g. 17",,2026-09-25 13:59,Vilniaus m. sav. Vilniaus m. Filaretų g. 17,https://www.eaukcionai.lt/evs/pages/auction.do?id=337613&number=336897,Paskelbtas,Buildings,2026-09-08 17:50:04
336899,"Sandėlis, 66,18 kv. m Vilniaus m. sav. Vilniaus m. Filaretų g. 17",,2026-09-25 13:59,Vilniaus m. sav. Vilniaus m. Filaretų g. 17,https://www.eaukcionai.lt/evs/pages/auction.do?id=337614&number=336899,Paskelbtas,Buildings,2026-09-08 17:50:04
337086,"Institutas 71340/894695 dalis, 8946,95 kv. m Vilniaus m. sav. Vilniaus m. Lukiškių g. 9",,2026-10-07 13:59,Vilniaus m. sav. Vilniaus m. Lukiškių g. 9,https://www.eaukcionai.lt/evs/pages/auction.do?id=337731&number=337086,Paskelbtas,Buildings,2026-09-08 17:50:05
337091,"Institutas 70499/894695 dalis, 8946,95 kv. m Vilniaus m. sav. Vilniaus m. Lukiškių g. 9",,2026-10-07 13:59,Vilniaus m. sav. Vilniaus m. Lukiškių g. 9,https://www.eaukcionai.lt/evs/pages/auction.do?id=337733&number=337091,Paskelbtas,Buildings,2026-09-08 17:50:05
337260,"Skydinė, 33,54 kv. m",479682.0,2026-10-14 13:59,Vilniaus r. sav. Skersabalių k. Skersabalių g. 19,https://www.eaukcionai.lt/evs/pages/auction.do?id=337935&number=337260,Paskelbtas,Buildings,2026-09-08 17:50:05
335910,"Butas 1 kamb., 25,9 kv. m Vilniaus m. sav. Vilniaus m. Lenkų g. 3B-15",22680.0,2026-09-10 13:59,Vilniaus m. sav. Vilniaus m. Lenkų g. 3B-15,https://www.eaukcionai.lt/evs/pages/auction.do?id=336851&number=335910,Paskelbtas,Apartments,2026-09-08 17:50:06
334427,"Butas 2 kamb., 39,89 kv. m Vilniaus r. sav. Nemenčinės m. A. Mickevičiaus g. 9-1",35500.0,2026-09-15 13:59,Vilniaus r. sav. Nemenčinės m. A. Mickevičiaus g. 9-1,https://www.eaukcionai.lt/evs/pages/auction.do?id=335809&number=334427,Paskelbtas,Apartments,2026-09-08 17:50:06
334425,"Butas 1 kamb., 31,57 kv. m Vilniaus r. sav. Bikiškės k. 1-4",900.0,2026-09-15 13:59,Vilniaus r. sav. Bikiškės k. 1-4,https://www.eaukcionai.lt/evs/pages/auction.do?id=335811&number=334425,Paskelbtas,Apartments,2026-09-08 17:50:06
334423,"Butas 1 kamb., 15,24 kv. m Vilniaus r. sav. Maišiagalos mstl. Studentų g. 11-45",5400.0,2026-09-15 13:59,Vilniaus r. sav. Maišiagalos mstl. Studentų g. 11-45,https://www.eaukcionai.lt/evs/pages/auction.do?id=335812&number=334423,Paskelbtas,Apartments,2026-09-08 17:50:06
334645,"Administracinės patalpos, 117,86 kv. m Vilniaus m. sav. Vilniaus m. Piliakalnio g. 6-1",103000.0,2026-09-15 13:59,Vilniaus m. sav. Vilniaus m. Piliakalnio g. 6-1,https://www.eaukcionai.lt/evs/pages/auction.do?id=336008&number=334645,Paskelbtas,Apartments,2026-09-08 17:50:07
336185,"Butas 3 kamb., 50,33 kv. m Vilniaus m. sav. Vilniaus m. Jono Kairiūkščio g. 5-15",108000.0,2026-09-15 13:59,Vilniaus m. sav. Vilniaus m. Jono Kairiūkščio g. 5-15,https://www.eaukcionai.lt/evs/pages/auction.do?id=337045&number=336185,Paskelbtas,Apartments,2026-09-08 17:50:07
336453,"Butas 1/2 dalis 2 kamb., 50,18 kv. m Vilniaus m. sav. Vilniaus m. Gelvonų g. 21-19",52160.0,2026-09-24 12:01,Vilniaus m. sav. Vilniaus m. Gelvonų g. 21-19,https://www.eaukcionai.lt/evs/pages/auction.do?id=337296&number=336453,Vykstančios,Apartments,2026-09-08 17:50:07
336435,"Kambarys 1/2 dalis 1 kamb., 15,81 kv. m Vilniaus m. sav. Vilniaus m. V. Grybo g. 33-130A",12000.0,2026-09-24 12:57,Vilniaus m. sav. Vilniaus m. V. Grybo g. 33-130A,https://www.eaukcionai.lt/evs/pages/auction.do?id=337282&number=336435,Vykstančios,Apartments,2026-09-08 17:50:07
337063,"Butas 2 kamb., 58,34 kv. m Vilniaus m. sav. Vilniaus m. Šeškinės g. 61-89",110700.0,2026-09-24 13:59,Vilniaus m. sav. Vilniaus m. Šeškinės g. 61-89,https://www.eaukcionai.lt/evs/pages/auction.do?id=337711&number=337063,Paskelbtas,Apartments,2026-09-08 17:50:07
336510,"Paštas, 279,04 kv. m Vilniaus m. sav. Vilniaus m. Architektų g. 19",299991.0,2026-09-25 13:59,Vilniaus m. sav. Vilniaus m. Architektų g. 19,https://www.eaukcionai.lt/evs/pages/auction.do?id=337336&number=336510,Paskelbtas,Apartments,2026-09-08 17:50:07
336519,"Paštas 0 kamb., 94,62 kv. m Vilniaus m. sav. Vilniaus m. Kalvarijų g. 121-10",217499.0,2026-09-25 13:59,Vilniaus m. sav. Vilniaus m. Kalvarijų g. 121-10,https://www.eaukcionai.lt/evs/pages/auction.do?id=337340&number=336519,Paskelbtas,Apartments,2026-09-08 17:50:07
335286,"Butas 2 kamb., 34,04 kv. m Vilniaus m. sav. Vilniaus m. A. Paškevič-Ciotkos g. 1-4",24146.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. A. Paškevič-Ciotkos g. 1-4,https://www.eaukcionai.lt/evs/pages/auction.do?id=336498&number=335286,Paskelbtas,Apartments,2026-09-08 17:50:08
335289,"Butas 1 kamb., 24,61 kv. m Vilniaus m. sav. Vilniaus m. Alšėnų g. 8-8",16913.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Alšėnų g. 8-8,https://www.eaukcionai.lt/evs/pages/auction.do?id=336500&number=335289,Paskelbtas,Apartments,2026-09-08 17:50:08
335291,"Butas 1 kamb., 18,89 kv. m Vilniaus m. sav. Vilniaus m. Didlaukio g. 80-86",41391.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Didlaukio g. 80-86,https://www.eaukcionai.lt/evs/pages/auction.do?id=336501&number=335291,Paskelbtas,Apartments,2026-09-08 17:50:08
335293,"Butas 3 kamb., 36,53 kv. m Vilniaus m. sav. Vilniaus m. Draugystės g. 28-2",18144.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Draugystės g. 28-2,https://www.eaukcionai.lt/evs/pages/auction.do?id=336502&number=335293,Paskelbtas,Apartments,2026-09-08 17:50:08
335301,"Negyvenamos patalpos, 19,48 kv. m Vilniaus m. sav. Vilniaus m. Gerovės g. 29-13",31590.0,2026-09-29 13:59,Vilniaus m. sav. Vilniaus m. Gerovės g. 29-13,https://www.eaukcionai.lt/evs/pages/auction.do?id=336504&number=335301,Paskelbtas,Apartments,2026-09-08 17:50:08
